,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2015-11-07,2098.6,2101.91,2083.74,2099.2,661105431
2015-11-10,2096.56,2096.56,2068.24,2078.58,664843244
2015-11-11,2077.19,2083.67,2069.91,2081.72,564853747
2015-11-12,2083.41,2086.94,2074.85,2075.0,511658093
2015-11-13,2072.29,2072.29,2045.66,2045.97,573740014
2015-11-14,2044.64,2044.64,2022.02,2023.04,652845916
2015-11-17,2022.08,2053.22,2019.39,2053.19,607438938
2015-11-18,2053.67,2066.69,2045.9,2050.44,677180096
2015-11-19,2051.99,2085.31,2051.99,2083.58,608652201
2015-11-20,2083.7,2086.74,2078.76,2081.24,536851932
2015-11-21,2082.82,2097.06,2082.82,2089.17,689155469
2015-11-24,2089.41,2095.61,2081.39,2086.59,571410593
2015-11-25,2084.42,2094.12,2070.29,2089.14,607002856
2015-11-26,2089.3,2093.0,2086.3,2088.87,440227053
2015-11-28,2088.82,2093.29,2084.13,2090.11,240297214
2015-12-01,2090.95,2093.81,2080.41,2080.41,817945944
2015-12-02,2082.93,2103.37,2082.93,2102.63,591032968
2015-12-03,2101.71,2104.27,2077.11,2079.51,615257603
2015-12-04,2080.71,2085.0,2042.35,2049.62,749534853
2015-12-05,2051.24,2093.84,2051.24,2091.69,740000496
2015-12-08,2090.42,2090.42,2066.78,2077.07,639169032
2015-12-09,2073.39,2073.85,2052.32,2063.59,666623202
2015-12-10,2061.17,2080.33,2036.53,2047.62,719904950
2015-12-11,2047.93,2067.65,2045.67,2052.23,597997497
2015-12-12,2047.27,2047.27,2008.8,2012.37,718417683
2015-12-15,2013.37,2022.92,1993.26,2021.94,771568987
2015-12-16,2025.55,2053.87,2025.55,2043.41,689853132
2015-12-17,2046.5,2076.72,2042.43,2073.07,680651840
2015-12-18,2073.76,2076.37,2041.66,2041.89,646285876
2015-12-19,2040.81,2040.81,2005.33,2005.55,1811569213
2015-12-22,2010.27,2022.9,2005.93,2021.15,610294061
2015-12-23,2023.15,2042.74,2020.49,2038.97,546862689
2015-12-24,2042.2,2064.73,2042.2,2064.29,545191292
2015-12-25,2063.52,2067.36,2058.73,2060.99,250570206
